# This ASPECT-compatible file contains material properties evaluated along an isentrope by the BurnMan software.
# POINTS: 501
# depth (m), pressure (Pa), temperature (K), density (kg/m^3), gravity (m/s^2), thermal expansivity (1/K), specific heat (J/K/kg), compressibility (1/Pa), molar volume (m^3/mol), molar entropy (J/K/mol), molar Gibbs (J/mol), Vp (m/s), Vs (m/s), dVp/dT (m/s/K), dVs/dT (m/s/K)
depth	pressure	temperature	density	gravity	thermal_expansivity	specific_heat	compressibility	molar_volume	molar_entropy	molar_gibbs	seismic_vp	seismic_vs	seismic_dvp_dt	seismic_dvs_dt
4.8276880358e+05	1.6592087800e+10	1.7864977475e+03	3.8109117833e+03	9.9637502700e+00	2.2492910359e-05	1.2262704197e+03	4.7141827976e-12	2.6240868874e-05	2.5164733070e+02	-1.1728114517e+06	9.5691056548e+03	5.1894321123e+03	-3.9955361144e-01	-3.0845034286e-01
4.8992685698e+05	1.6864087600e+10	1.7888433543e+03	3.8158038711e+03	9.9651014913e+00	2.2349956749e-05	1.2259101882e+03	4.6904018546e-12	2.6207174950e-05	2.5164733070e+02	-1.1662656554e+06	9.5834641696e+03	5.1940543084e+03	-3.9752596571e-01	-3.0752868572e-01
4.9707579232e+05	1.7136087400e+10	1.7912307419e+03	3.8207708011e+03	9.9664571751e+00	2.2203930511e-05	1.2255398774e+03	4.6664666825e-12	2.6172967817e-05	2.5164733070e+02	-1.1597305172e+06	9.5981374280e+03	5.1988558724e+03	-3.9825966287e-01	-3.0821230856e-01
5.0420644300e+05	1.7408087200e+10	1.7982203775e+03	3.8342243041e+03	9.9677866575e+00	2.1727658634e-05	1.2242207721e+03	4.5985317509e-12	2.6082194813e-05	2.5164733070e+02	-1.1544009126e+06	9.6483754956e+03	5.2240741328e+03	-8.7424187428e-01	-5.8601428572e-01
5.1131128882e+05	1.7680087000e+10	1.8044928398e+03	3.8462697473e+03	9.9690641077e+00	2.1305871891e-05	1.2230524466e+03	4.5394563745e-12	2.6000755506e-05	2.5164733070e+02	-1.1488880870e+06	9.6929567728e+03	5.2460438372e+03	-1.3477893143e+00	-8.6251142858e-01
5.1839450219e+05	1.7952086800e+10	1.8101384007e+03	3.8571199907e+03	9.9703030682e+00	2.0930317211e-05	1.2220114177e+03	4.4876131548e-12	2.5927229493e-05	2.5164733070e+02	-1.1432172125e+06	9.7327392314e+03	5.2652589518e+03	-1.8213367543e+00	-1.1390085714e+00
5.2545781428e+05	1.8224086600e+10	1.8151677742e+03	3.8668360708e+03	9.9715091821e+00	2.0599815554e-05	1.2210954485e+03	4.4422566667e-12	2.5861336701e-05	2.5164733070e+02	-1.1373987376e+06	9.7678488834e+03	5.2817844237e+03	-2.2271532800e+00	-1.3756901257e+00
5.3250410843e+05	1.8496086400e+10	1.8191492445e+03	3.8750763310e+03	9.9726913884e+00	2.0341509827e-05	1.2203862750e+03	4.4044630516e-12	2.5806808543e-05	2.5164733070e+02	-1.1314173462e+06	9.7954690101e+03	5.2939296843e+03	-1.7449422628e+00	-1.0903450743e+00
5.3953400919e+05	1.8768086200e+10	1.8236590976e+03	3.8842224702e+03	9.9738525319e+00	2.0047551760e-05	1.2195684647e+03	4.3633109025e-12	2.5746244960e-05	2.5164733070e+02	-1.1255615270e+06	9.8266375310e+03	5.3081413910e+03	-1.1526926400e+00	-7.4069302857e-01
5.4654578668e+05	1.9040086000e+10	1.8286773088e+03	3.8942583636e+03	9.9749860796e+00	1.9718060399e-05	1.2186384743e+03	4.3190269444e-12	2.5679682429e-05	2.5164733070e+02	-1.1198310444e+06	9.8614345337e+03	5.3244735057e+03	-7.2983634285e-01	-4.9000228571e-01
5.5353799768e+05	1.9312085800e+10	1.8337369688e+03	3.9043477688e+03	9.9760865731e+00	1.9386203081e-05	1.2176960777e+03	4.2753369375e-12	2.5612719107e-05	2.5164733070e+02	-1.1141164866e+06	9.8965801656e+03	5.3410151174e+03	-3.6338546282e-01	-2.7279454856e-01
5.6051633808e+05	1.9584085600e+10	1.8357608794e+03	3.9088704272e+03	9.9771733668e+00	1.9276213832e-05	1.2174291640e+03	4.2556995266e-12	2.5583176169e-05	2.5164733070e+02	-1.1076745156e+06	9.9095632678e+03	5.3446244864e+03	-3.6191081141e-01	-2.7224155428e-01
